NAMESPACE       NAME                                    READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS                                                                                      IMAGES                                                                                                                                                                                                                                           SELECTOR
cert-manager    cert-manager                            1/1     1            1           15h     cert-manager                                                                                    quay.io/jetstack/cert-manager-controller:v1.6.0                                                                                                                                                                                                  app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager    cert-manager-cainjector                 1/1     1            1           15h     cert-manager                                                                                    quay.io/jetstack/cert-manager-cainjector:v1.6.0                                                                                                                                                                                                  app.kubernetes.io/component=cainjector,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cainjector
cert-manager    cert-manager-webhook                    1/1     1            1           15h     cert-manager                                                                                    quay.io/jetstack/cert-manager-webhook:v1.6.0                                                                                                                                                                                                     app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
ingress-nginx   default-http-backend                    1/1     1            1           66d     default-http-backend                                                                            rancher/mirrored-nginx-ingress-controller-defaultbackend:1.5-rancher1                                                                                                                                                                            app=default-http-backend
kube-system     calico-kube-controllers                 1/1     1            1           66d     calico-kube-controllers                                                                         rancher/mirrored-calico-kube-controllers:v3.17.2                                                                                                                                                                                                 k8s-app=calico-kube-controllers
kube-system     coredns                                 2/2     2            2           66d     coredns                                                                                         rancher/mirrored-coredns-coredns:1.8.0                                                                                                                                                                                                           k8s-app=kube-dns
kube-system     coredns-autoscaler                      1/1     1            1           66d     autoscaler                                                                                      rancher/mirrored-cluster-proportional-autoscaler:1.8.1                                                                                                                                                                                           k8s-app=coredns-autoscaler
kube-system     metrics-server                          1/1     1            1           66d     metrics-server                                                                                  rancher/mirrored-metrics-server:v0.4.1                                                                                                                                                                                                           k8s-app=metrics-server
kube-system     snapshot-controller                     2/2     2            2           4d14h   snapshot-controller                                                                             k8s.gcr.io/sig-storage/snapshot-controller:v4.2.1                                                                                                                                                                                                app=snapshot-controller
minio           minio                                   1/1     1            1           2d23h   minio                                                                                           docker.io/bitnami/minio:2021.10.27-debian-10-r0                                                                                                                                                                                                  app.kubernetes.io/instance=minio,app.kubernetes.io/name=minio
rook-ceph       csi-cephfsplugin-provisioner            2/2     2            2           4d14h   csi-attacher,csi-snapshotter,csi-resizer,csi-provisioner,csi-cephfsplugin,liveness-prometheus   k8s.gcr.io/sig-storage/csi-attacher:v3.2.1,k8s.gcr.io/sig-storage/csi-snapshotter:v4.1.1,k8s.gcr.io/sig-storage/csi-resizer:v1.2.0,k8s.gcr.io/sig-storage/csi-provisioner:v2.2.2,quay.io/cephcsi/cephcsi:v3.4.0,quay.io/cephcsi/cephcsi:v3.4.0   app=csi-cephfsplugin-provisioner
rook-ceph       csi-rbdplugin-provisioner               2/2     2            2           4d14h   csi-provisioner,csi-resizer,csi-attacher,csi-snapshotter,csi-rbdplugin,liveness-prometheus      k8s.gcr.io/sig-storage/csi-provisioner:v2.2.2,k8s.gcr.io/sig-storage/csi-resizer:v1.2.0,k8s.gcr.io/sig-storage/csi-attacher:v3.2.1,k8s.gcr.io/sig-storage/csi-snapshotter:v4.1.1,quay.io/cephcsi/cephcsi:v3.4.0,quay.io/cephcsi/cephcsi:v3.4.0   app=csi-rbdplugin-provisioner
rook-ceph       nginx-deploy-blue                       1/1     1            1           38h     nginx                                                                                           reg.govcloud.dk/gcproxy/library/nginx                                                                                                                                                                                                            run=nginx-blue
rook-ceph       nginx-deploy-green                      1/1     1            1           38h     nginx                                                                                           reg.govcloud.dk/gcproxy/library/nginx                                                                                                                                                                                                            run=nginx-green
rook-ceph       nginx-deploy-main                       1/1     1            1           38h     nginx                                                                                           reg.govcloud.dk/gcproxy/library/nginx                                                                                                                                                                                                            run=nginx-main
rook-ceph       rook-ceph-crashcollector-gc-rook-t001   1/1     1            1           4d14h   ceph-crash                                                                                      quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-crashcollector,kubernetes.io/hostname=gc-rook-t001,node_name=gc-rook-t001
rook-ceph       rook-ceph-crashcollector-gc-rook-t002   1/1     1            1           4d14h   ceph-crash                                                                                      quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-crashcollector,kubernetes.io/hostname=gc-rook-t002,node_name=gc-rook-t002
rook-ceph       rook-ceph-crashcollector-gc-rook-t003   1/1     1            1           4d14h   ceph-crash                                                                                      quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-crashcollector,kubernetes.io/hostname=gc-rook-t003,node_name=gc-rook-t003
rook-ceph       rook-ceph-crashcollector-gc-rook-t004   1/1     1            1           4d13h   ceph-crash                                                                                      quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-crashcollector,kubernetes.io/hostname=gc-rook-t004,node_name=gc-rook-t004
rook-ceph       rook-ceph-crashcollector-gc-rook-t005   1/1     1            1           4d13h   ceph-crash                                                                                      quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-crashcollector,kubernetes.io/hostname=gc-rook-t005,node_name=gc-rook-t005
rook-ceph       rook-ceph-crashcollector-gc-rook-t006   1/1     1            1           4d14h   ceph-crash                                                                                      quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-crashcollector,kubernetes.io/hostname=gc-rook-t006,node_name=gc-rook-t006
rook-ceph       rook-ceph-mgr-a                         1/1     1            1           4d14h   mgr                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-mgr,ceph_daemon_id=a,instance=a,mgr=a,rook_cluster=rook-ceph
rook-ceph       rook-ceph-mon-a                         1/1     1            1           4d14h   mon                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-mon,ceph_daemon_id=a,mon=a,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph       rook-ceph-mon-b                         1/1     1            1           4d14h   mon                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-mon,ceph_daemon_id=b,mon=b,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph       rook-ceph-mon-c                         1/1     1            1           4d14h   mon                                                                                             quay.io/ceph/ceph:v16.2.5                                                                                                                                                                                                                        app=rook-ceph-mon,ceph_daemon_id=c,mon=c,mon_cluster=rook-ceph,rook_cluster=rook-ceph
