NAMESPACE       NAME                                                     READY   STATUS      RESTARTS   AGE     IP             NODE           NOMINATED NODE   READINESS GATES
cert-manager    cert-manager-6c576bddcf-7vtt9                            1/1     Running     0          15h     10.42.4.88     gc-rook-t005   <none>           <none>
cert-manager    cert-manager-cainjector-669c966b86-qpmk5                 1/1     Running     0          15h     10.42.4.89     gc-rook-t005   <none>           <none>
cert-manager    cert-manager-webhook-66c97d5cdf-t2jk7                    1/1     Running     0          15h     10.42.4.90     gc-rook-t005   <none>           <none>
ingress-nginx   default-http-backend-6977475d9b-gr89q                    1/1     Running     2          66d     10.42.2.10     gc-rook-t003   <none>           <none>
ingress-nginx   nginx-ingress-controller-4rjjb                           1/1     Running     2          22d     10.33.74.213   gc-rook-t005   <none>           <none>
ingress-nginx   nginx-ingress-controller-b264n                           1/1     Running     6          66d     10.33.74.16    gc-rook-t003   <none>           <none>
ingress-nginx   nginx-ingress-controller-jkjs4                           1/1     Running     0          22d     10.33.74.14    gc-rook-t006   <none>           <none>
ingress-nginx   nginx-ingress-controller-mpv7g                           1/1     Running     2          66d     10.33.74.15    gc-rook-t002   <none>           <none>
ingress-nginx   nginx-ingress-controller-q225l                           1/1     Running     4          66d     10.33.74.13    gc-rook-t001   <none>           <none>
ingress-nginx   nginx-ingress-controller-thntv                           1/1     Running     1          22d     10.33.74.212   gc-rook-t004   <none>           <none>
kube-system     calico-kube-controllers-7d5d95c8c9-6hj2v                 1/1     Running     3          66d     10.42.2.9      gc-rook-t003   <none>           <none>
kube-system     canal-2rmj2                                              2/2     Running     4          66d     10.33.74.16    gc-rook-t003   <none>           <none>
kube-system     canal-5gx6h                                              2/2     Running     0          22d     10.33.74.14    gc-rook-t006   <none>           <none>
kube-system     canal-5rhqs                                              2/2     Running     2          22d     10.33.74.212   gc-rook-t004   <none>           <none>
kube-system     canal-8mn7j                                              2/2     Running     4          66d     10.33.74.15    gc-rook-t002   <none>           <none>
kube-system     canal-nqnzf                                              2/2     Running     4          22d     10.33.74.213   gc-rook-t005   <none>           <none>
kube-system     canal-v2hz9                                              2/2     Running     8          66d     10.33.74.13    gc-rook-t001   <none>           <none>
kube-system     coredns-55b58f978-fhd5d                                  1/1     Running     2          66d     10.42.1.4      gc-rook-t002   <none>           <none>
kube-system     coredns-55b58f978-wqrtj                                  1/1     Running     4          66d     10.42.0.11     gc-rook-t001   <none>           <none>
kube-system     coredns-autoscaler-76f8869cc9-6d5pp                      1/1     Running     4          66d     10.42.0.10     gc-rook-t001   <none>           <none>
kube-system     metrics-server-55fdd84cd4-mxcn9                          1/1     Running     7          66d     10.42.2.8      gc-rook-t003   <none>           <none>
kube-system     rke-coredns-addon-deploy-job-hwsz2                       0/1     Completed   0          66d     10.33.74.13    gc-rook-t001   <none>           <none>
kube-system     rke-ingress-controller-deploy-job-wc22z                  0/1     Completed   0          66d     10.33.74.13    gc-rook-t001   <none>           <none>
kube-system     rke-metrics-addon-deploy-job-bc4cd                       0/1     Completed   0          66d     10.33.74.13    gc-rook-t001   <none>           <none>
kube-system     rke-network-plugin-deploy-job-7z7xc                      0/1     Completed   0          66d     10.33.74.13    gc-rook-t001   <none>           <none>
kube-system     snapshot-controller-6984fdc566-qlxx6                     1/1     Running     0          4d14h   10.42.5.5      gc-rook-t004   <none>           <none>
kube-system     snapshot-controller-6984fdc566-rqgcq                     1/1     Running     0          4d14h   10.42.5.7      gc-rook-t004   <none>           <none>
minio           minio-7ff8cd9b8f-97vgc                                   1/1     Running     0          2d23h   10.42.5.32     gc-rook-t004   <none>           <none>
rook-ceph       csi-cephfsplugin-75nhr                                   3/3     Running     0          4d14h   10.33.74.14    gc-rook-t006   <none>           <none>
rook-ceph       csi-cephfsplugin-9qzhd                                   3/3     Running     3          4d14h   10.33.74.212   gc-rook-t004   <none>           <none>
rook-ceph       csi-cephfsplugin-p7k6s                                   3/3     Running     0          4d14h   10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       csi-cephfsplugin-provisioner-7dcc8ff54d-d726v            6/6     Running     4          4d14h   10.42.3.6      gc-rook-t006   <none>           <none>
rook-ceph       csi-cephfsplugin-provisioner-7dcc8ff54d-qj86m            6/6     Running     6          4d14h   10.42.5.8      gc-rook-t004   <none>           <none>
rook-ceph       csi-rbdplugin-provisioner-6799bd4cb7-hndtn               6/6     Running     0          4d14h   10.42.4.7      gc-rook-t005   <none>           <none>
rook-ceph       csi-rbdplugin-provisioner-6799bd4cb7-xrlj9               6/6     Running     3          4d14h   10.42.3.5      gc-rook-t006   <none>           <none>
rook-ceph       csi-rbdplugin-ttfgg                                      3/3     Running     0          4d14h   10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       csi-rbdplugin-wpndq                                      3/3     Running     0          4d14h   10.33.74.14    gc-rook-t006   <none>           <none>
rook-ceph       csi-rbdplugin-zdvr8                                      3/3     Running     3          4d14h   10.33.74.212   gc-rook-t004   <none>           <none>
rook-ceph       nginx-deploy-blue-6bdb64dff9-jlrxc                       1/1     Running     0          38h     10.42.4.86     gc-rook-t005   <none>           <none>
rook-ceph       nginx-deploy-green-757988bb98-wm6h6                      1/1     Running     0          38h     10.42.3.42     gc-rook-t006   <none>           <none>
rook-ceph       nginx-deploy-main-7d5f88454-7p9bv                        1/1     Running     0          38h     10.42.5.59     gc-rook-t004   <none>           <none>
rook-ceph       rook-ceph-crashcollector-gc-rook-t001-65bf6897ff-kjzq6   1/1     Running     0          4d14h   10.33.74.13    gc-rook-t001   <none>           <none>
rook-ceph       rook-ceph-crashcollector-gc-rook-t002-7db6498f46-s89zt   1/1     Running     0          4d14h   10.33.74.15    gc-rook-t002   <none>           <none>
rook-ceph       rook-ceph-crashcollector-gc-rook-t003-67d5c56769-5wsrx   1/1     Running     0          4d14h   10.33.74.16    gc-rook-t003   <none>           <none>
rook-ceph       rook-ceph-crashcollector-gc-rook-t004-6cf955dfdd-dwzbb   1/1     Running     0          4d13h   10.33.74.212   gc-rook-t004   <none>           <none>
rook-ceph       rook-ceph-crashcollector-gc-rook-t005-86648fc97c-9xj2w   1/1     Running     0          3d22h   10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       rook-ceph-crashcollector-gc-rook-t006-7fb57dd854-9hc5n   1/1     Running     0          4d14h   10.33.74.14    gc-rook-t006   <none>           <none>
rook-ceph       rook-ceph-mgr-a-859cbdccf7-6fz54                         1/1     Running     0          4d14h   10.33.74.15    gc-rook-t002   <none>           <none>
rook-ceph       rook-ceph-mon-a-69f85c6c78-ddv47                         1/1     Running     0          4d14h   10.33.74.13    gc-rook-t001   <none>           <none>
rook-ceph       rook-ceph-mon-b-55b77c59c7-ghslr                         1/1     Running     0          4d14h   10.33.74.15    gc-rook-t002   <none>           <none>
rook-ceph       rook-ceph-mon-c-84c867fbbb-4jmkq                         1/1     Running     0          4d14h   10.33.74.16    gc-rook-t003   <none>           <none>
rook-ceph       rook-ceph-operator-5f78fffd97-vwsrv                      1/1     Running     0          4d14h   10.42.3.4      gc-rook-t006   <none>           <none>
rook-ceph       rook-ceph-osd-0-6c454d4747-z7vct                         1/1     Running     0          4d14h   10.33.74.15    gc-rook-t002   <none>           <none>
rook-ceph       rook-ceph-osd-1-67bdc496f5-5tvlw                         1/1     Running     0          4d14h   10.33.74.13    gc-rook-t001   <none>           <none>
rook-ceph       rook-ceph-osd-2-b5f47d776-4z9mh                          1/1     Running     0          4d14h   10.33.74.16    gc-rook-t003   <none>           <none>
rook-ceph       rook-ceph-osd-3-b667c5fcb-hvlvr                          1/1     Running     0          4d14h   10.33.74.14    gc-rook-t006   <none>           <none>
rook-ceph       rook-ceph-osd-4-8455f7cd56-ssbz4                         1/1     Running     0          4d14h   10.33.74.14    gc-rook-t006   <none>           <none>
rook-ceph       rook-ceph-osd-5-57d668d7bf-nbbfn                         1/1     Running     0          4d13h   10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       rook-ceph-osd-6-5799b7f88d-szzd2                         1/1     Running     0          4d13h   10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       rook-ceph-osd-7-5bbc8d4cbc-shd9c                         1/1     Running     0          4d13h   10.33.74.212   gc-rook-t004   <none>           <none>
rook-ceph       rook-ceph-osd-8-7cd8b98799-lp4wd                         1/1     Running     0          4d13h   10.33.74.212   gc-rook-t004   <none>           <none>
rook-ceph       rook-ceph-osd-prepare-gc-rook-t001-n229v                 0/1     Completed   0          97m     10.33.74.13    gc-rook-t001   <none>           <none>
rook-ceph       rook-ceph-osd-prepare-gc-rook-t002-lkrtg                 0/1     Completed   0          97m     10.33.74.15    gc-rook-t002   <none>           <none>
rook-ceph       rook-ceph-osd-prepare-gc-rook-t003-l6bzv                 0/1     Completed   0          97m     10.33.74.16    gc-rook-t003   <none>           <none>
rook-ceph       rook-ceph-osd-prepare-gc-rook-t004-vmzrm                 0/1     Completed   0          97m     10.33.74.212   gc-rook-t004   <none>           <none>
rook-ceph       rook-ceph-osd-prepare-gc-rook-t005-b5x7r                 0/1     Completed   0          97m     10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       rook-ceph-osd-prepare-gc-rook-t006-d2mbz                 0/1     Completed   0          97m     10.33.74.14    gc-rook-t006   <none>           <none>
rook-ceph       rook-ceph-rgw-gc-ceph-object-store-a-66895b5f96-4vtp5    1/1     Running     0          3d22h   10.33.74.213   gc-rook-t005   <none>           <none>
rook-ceph       rook-ceph-tools-69b6fccdd8-g85cj                         1/1     Running     0          4d14h   10.42.1.5      gc-rook-t002   <none>           <none>
test-ingress    nginx-deploy-blue-6bdb64dff9-8j57c                       1/1     Running     0          38h     10.42.5.58     gc-rook-t004   <none>           <none>
test-ingress    nginx-deploy-green-757988bb98-lgj7c                      1/1     Running     0          38h     10.42.5.57     gc-rook-t004   <none>           <none>
test-ingress    nginx-deploy-main-7d5f88454-tpx45                        1/1     Running     0          39h     10.42.5.56     gc-rook-t004   <none>           <none>
test            busybox-1-5b67848849-vt7kx                               1/1     Running     0          2d17h   10.42.5.55     gc-rook-t004   <none>           <none>
velero          restic-6cwzw                                             1/1     Running     0          12h     10.42.5.62     gc-rook-t004   <none>           <none>
velero          restic-klqfp                                             1/1     Running     0          12h     10.42.3.44     gc-rook-t006   <none>           <none>
velero          restic-xsblg                                             1/1     Running     0          12h     10.42.4.93     gc-rook-t005   <none>           <none>
velero          velero-66946f996d-2zs2z                                  1/1     Running     0          12h     10.42.4.92     gc-rook-t005   <none>           <none>
