NAMESPACE       NAME                                          TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                         AGE     SELECTOR
cert-manager    cert-manager                                  ClusterIP   10.43.131.51    <none>        9402/TCP                        15h     app.kubernetes.io/component=controller,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=cert-manager
cert-manager    cert-manager-webhook                          ClusterIP   10.43.32.226    <none>        443/TCP                         15h     app.kubernetes.io/component=webhook,app.kubernetes.io/instance=cert-manager,app.kubernetes.io/name=webhook
default         kubernetes                                    ClusterIP   10.43.0.1       <none>        443/TCP                         66d     <none>
ingress-nginx   default-http-backend                          ClusterIP   10.43.108.209   <none>        80/TCP                          66d     app=default-http-backend
kube-system     kube-dns                                      ClusterIP   10.43.0.10      <none>        53/UDP,53/TCP,9153/TCP          66d     k8s-app=kube-dns
kube-system     metrics-server                                ClusterIP   10.43.60.190    <none>        443/TCP                         66d     k8s-app=metrics-server
minio           minio                                         NodePort    10.43.58.10     <none>        9000:32335/TCP,9001:32638/TCP   2d23h   app.kubernetes.io/instance=minio,app.kubernetes.io/name=minio
rook-ceph       csi-cephfsplugin-metrics                      ClusterIP   10.43.83.17     <none>        8080/TCP,8081/TCP               4d14h   contains=csi-cephfsplugin-metrics
rook-ceph       csi-rbdplugin-metrics                         ClusterIP   10.43.9.239     <none>        8080/TCP,8081/TCP               4d14h   contains=csi-rbdplugin-metrics
rook-ceph       nginx-deploy-main                             ClusterIP   10.43.190.231   <none>        80/TCP                          38h     run=nginx-main
rook-ceph       rook-ceph-mgr                                 ClusterIP   10.43.113.95    <none>        9283/TCP                        4d14h   app=rook-ceph-mgr,ceph_daemon_id=a,rook_cluster=rook-ceph
rook-ceph       rook-ceph-mgr-dashboard                       ClusterIP   10.43.13.126    <none>        8443/TCP                        4d14h   app=rook-ceph-mgr,ceph_daemon_id=a,rook_cluster=rook-ceph
rook-ceph       rook-ceph-mgr-dashboard-external-https        NodePort    10.43.138.200   <none>        8443:32000/TCP                  4d14h   app=rook-ceph-mgr,rook_cluster=rook-ceph
rook-ceph       rook-ceph-rgw-gc-ceph-object-store            ClusterIP   10.43.147.223   <none>        9090/TCP                        3d22h   app=rook-ceph-rgw,ceph_daemon_id=gc-ceph-object-store,rgw=gc-ceph-object-store,rook_cluster=rook-ceph,rook_object_store=gc-ceph-object-store
rook-ceph       rook-ceph-rgw-gc-ceph-object-store-external   NodePort    10.43.57.90     <none>        80:31000/TCP                    3d21h   app=rook-ceph-rgw,rook_cluster=rook-ceph,rook_object_store=rook-ceph-rgw-gc-ceph-object-store
test-ingress    nginx-deploy-blue                             ClusterIP   10.43.228.145   <none>        80/TCP                          38h     run=nginx-blue
test-ingress    nginx-deploy-green                            ClusterIP   10.43.184.165   <none>        80/TCP                          38h     run=nginx-green
test-ingress    nginx-deploy-main                             ClusterIP   10.43.224.86    <none>        80/TCP                          38h     run=nginx-main
